Ticker,Date,Amount
AAPL,2022-08-11,$0.01 
AAPL,2022-11-10,$0.01 
AAPL,2023-02-16,$0.05 
AAPL,2023-05-18,$0.11 
MSFT,2023-06-18,$0.04 
TSM,2023-07-13,$0.07 
AXP,2023-08-10,$0.08 
AAPL,2023-08-17,$0.11 
AMSL,2023-08-09,$0.09 
MSFT,2023-09-14,$0.08 
TSM,2023-10-12,$0.30 
MA,2023-11-09,$0.06 
AXP,2023-11-10,$0.08 
ASML,2023-11-10,$0.18 
AAPL,2023-11-16,$0.11 
V,2023-12-01,$0.04 
MSFT,2023-12-14,$0.09 
TSM,2024-01-11,$0.31 
MA,2024-02-09,$0.10 
AXP,2024-02-09,$0.08 
AAPL,2024-02-15,$0.11 
V,2024-03-01,$0.04 
ASML,2024-02-14,$0.30 
AAPL,2024-02-15,$0.11 
V,2024-03-01,$0.04 
MSFT,2024-03-14,$0.63 
NVDA,2024-03-27,$0.05 
TSM,2024-04-11,$4.23 
TSM,2024-04-11,$0.35 
MSFT,2024-03-14,$1.84 
ASML,2024-05-07,$0.36 
ASML,2024-05-07,$1.94 
MA,2024-05-09,$1.38 
AXP,2024-05-10,$0.09 
APPL,2024-05-16,$0.11 
V,2024-05-16,$1.43 
V,2024-06-03,$1.88 
V,2024-06-03,$0.04 
MSFT,2024-06-13,$1.84 
MSFT,2024-06-13,$0.63 
MSFT,2024-06-13,$0.05 
AVGO,2024-06-28,$3.68 
NVDA,2024-06-28,$0.12 
NVDA,2024-06-28,$0.01 
NVDA,2024-06-28,$0.01 
TSM,2024-07-11,$0.35 
TSM,2024-07-15,$4.20 
ASML,2024-08-07,$0.32 
ASML,2024-08-09,$3.42 
MA,2024-08-09,$1.38 
MA,2024-08-09,$0.10 
AXP,2024-08-09,$0.09 
AAPL,2024-08-15,$0.11 
V,2024-09-03,$0.04 
MSFT,2024-09-12,$0.68 
NVDA,2024-10-03,$0.01 
TSM,2024-10-09,$0.40 
TSM,2024-10-11,$8.90 
FDRXX,2024-10-31,$4.12 
MA,2024-11-08,$0.10 
ASML,2024-11-07,$3.42 
AXP,2024-11-08,$0.09 
MA,2024-11-10,$1.38 
AAPL,2024-11-14,$0.11 
AAPL,2024-11-14,$2.50 
V,2024-12-02,$0.05 
V,2024-12-02,$4.41 
WING,2024-12-06,$0.64 
MSFT,2024-12-12,$1.38 
MSFT,2024-12-12,$0.74 
KNSL,2024-12-13,$0.97 
NVDA,2024-12-27,$0.19 
NVDA,2024-12-27,$0.01 
AVGO,2024-12-31,$4.15 
LRCX,2025-01-08,$2.11 
TSM,2025-01-09,$0.39 
TSM,2025-01-09,$8.69 
EME,2025-01-31,$0.96 
MA,2025-02-07,$0.12 
MA,2025-02-07,$1.59 
AXP,2025-02-10,$0.09 
APPL,2025-02-13,$2.50 
APPL,2025-02-13,$0.11 
ASML,2025-02-19,$0.30 
ASML,2025-02-19,$5.44 
HWM,2025-02-25,$1.58 
V,2025-03-03,$6.27 
V,2025-03-03,$0.05 