Date,Type,Amount
5/20/22,DEPOSIT,-6.04
1/4/23,DEPOSIT,-19.98
1/9/23,DEPOSIT,-21.3
1/16/23,DEPOSIT,-20
1/23/23,DEPOSIT,-20
1/30/23,DEPOSIT,-20
2/5/23,DEPOSIT,-20
2/15/23,DEPOSIT,-20
2/21/23,DEPOSIT,-19.95
2/27/23,DEPOSIT,-20.07
3/6/23,DEPOSIT,-20
3/13/23,DEPOSIT,-20
3/23/23,DEPOSIT,-20
3/28/23,DEPOSIT,-20
4/3/23,DEPOSIT,-20
4/10/23,DEPOSIT,-20
4/17/23,DEPOSIT,-20
4/24/23,DEPOSIT,-20
5/1/23,DEPOSIT,-20
5/9/23,DEPOSIT,-20
5/17/23,DEPOSIT,-20.01
5/23/23,DEPOSIT,-20.01
5/30/23,DEPOSIT,-20.2
6/5/23,DEPOSIT,-20
6/7/23,DEPOSIT,-20
6/13/23,DEPOSIT,-20.4
6/20/23,DEPOSIT,-20.16
6/21/23,DEPOSIT,-41.81
6/26/23,DEPOSIT,-20.2
7/3/23,DEPOSIT,-20.25
7/6/23,DEPOSIT,-20.2
7/11/23,DEPOSIT,-20.2
7/17/23,DEPOSIT,-20.2
7/20/23,DEPOSIT,-20.2
7/24/23,DEPOSIT,-20.2
7/27/23,DEPOSIT,-20.2
8/1/23,DEPOSIT,-20.2
8/2/23,DEPOSIT,-40.12
8/8/23,DEPOSIT,-20.2
8/14/23,DEPOSIT,-19.83
8/23/23,DEPOSIT,-20.29
8/25/23,DEPOSIT,-20.23
8/29/23,DEPOSIT,-20.22
9/5/23,DEPOSIT,-20.38
9/7/23,DEPOSIT,-19.75
9/11/23,DEPOSIT,-20.2
9/18/23,DEPOSIT,-20.16
9/21/23,DEPOSIT,-18.63
9/25/23,DEPOSIT,-20.23
10/2/23,DEPOSIT,-21.01
10/9/23,DEPOSIT,-21
10/16/23,DEPOSIT,-20.2
10/24/23,DEPOSIT,-20.2
10/26/23,DEPOSIT,-20.2
11/1/23,DEPOSIT,-20.78
11/6/23,DEPOSIT,-25
11/13/23,DEPOSIT,-24.68
11/17/23,DEPOSIT,-24.89
11/20/23,DEPOSIT,-25
11/27/23,DEPOSIT,-25
12/4/23,DEPOSIT,-24.96
12/11/23,DEPOSIT,-99.8
12/18/23,DEPOSIT,-149.93
12/26/23,DEPOSIT,-124.9
1/2/24,DEPOSIT,-378.67
1/8/24,DEPOSIT,-125
1/16/24,DEPOSIT,-123.62
1/22/24,DEPOSIT,-124.96
1/29/24,DEPOSIT,-131.71
1/30/24,DEPOSIT,-999.15
2/5/24,DEPOSIT,-1030.06
2/12/24,DEPOSIT,-1178.83
2/13/24,DEPOSIT,-5580.82
3/11/24,DEPOSIT,-1000.08
3/18/24,DEPOSIT,-1997.62
3/25/24,DEPOSIT,-1001.48
4/1/24,DEPOSIT,-1004.63
4/8/24,DEPOSIT,-999.78
4/15/24,DEPOSIT,-995.7
4/22/24,DEPOSIT,-1000.21
4/29/24,DEPOSIT,-1000
5/6/24,DEPOSIT,-1003.6
5/13/24,DEPOSIT,-996.23
5/20/24,DEPOSIT,-998.69
6/3/24,DEPOSIT,-1004.4
6/10/24,DEPOSIT,-998.31
6/17/24,DEPOSIT,-997.79
6/24/24,DEPOSIT,-999.25
7/1/24,DEPOSIT,-1000.41
7/9/24,DEPOSIT,-999.93
7/15/24,DEPOSIT,-999.68
7/17/24,DEPOSIT,-995.7
7/22/24,DEPOSIT,-1000.03
7/30/24,DEPOSIT,-1000.08
8/5/24,DEPOSIT,-1004.49
8/12/24,DEPOSIT,-996.17
8/19/24,DEPOSIT,-999.89
8/26/24,DEPOSIT,-1000.32
9/10/24,DEPOSIT,-1004.36
9/16/24,DEPOSIT,-999.29
9/23/24,DEPOSIT,-1001.98
9/30/24,DEPOSIT,-1000.74
10/7/24,DEPOSIT,-1003.83
10/15/24,DEPOSIT,-990.7
10/21/24,DEPOSIT,-1000.2
10/28/24,DEPOSIT,-996.09
11/4/24,DEPOSIT,-1000.3
11/11/24,DEPOSIT,-999.6
11/18/24,DEPOSIT,-1248.93
11/26/24,DEPOSIT,-1099.32
12/2/24,DEPOSIT,-2107.95
12/10/24,DEPOSIT,-94.89
12/16/24,DEPOSIT,-1100.5
12/23/24,DEPOSIT,-1099.71
12/27/24,DEPOSIT,-100.04
12/30/24,DEPOSIT,-999.51
1/6/25,DEPOSIT,-1102.27
1/14/25,DEPOSIT,-995.41
1/16/25,DEPOSIT,-100.53
1/22/25,DEPOSIT,-1100.09
1/27/25,DEPOSIT,-999.36
1/28/25,DEPOSIT,-100.13
2/3/25,DEPOSIT,-1002.76
2/10/25,DEPOSIT,-999.5
2/11/25,DEPOSIT,-99.91
2/18/25,DEPOSIT,-1100.6
2/28/25,DEPOSIT,-1097.04
3/6/25,DEPOSIT,-1003.26
3/7/25,DEPOSIT,-99.94
3/11/25,DEPOSIT,-1099.98
3/17/25,DEPOSIT,-100
3/18/25,DEPOSIT,-1001.06
3/24/25,DEPOSIT,-1099.52
3/31/25,DEPOSIT,-1006.56
4/7/25,DEPOSIT,-1086.9
4/14/25,DEPOSIT,-1010.09
4/21/25,DEPOSIT,-999.37
4/28/25,DEPOSIT,-1000.06
5/6/25,DEPOSIT,-1003.71
5/12/25,DEPOSIT,-1009.86
5/19/25,DEPOSIT,-1003.05
5/27/25,DEPOSIT,-999
6/2/25,DEPOSIT,-1108.93
6/9/25,DEPOSIT,-1003.88
6/17/25,DEPOSIT,-1101
8/11/22,DIVIDEND,0.01
11/10/22,DIVIDEND,0.01
2/16/23,DIVIDEND,0.05
5/18/23,DIVIDEND,0.11
6/18/23,DIVIDEND,0.04
7/13/23,DIVIDEND,0.07
8/9/23,DIVIDEND,0.09
8/10/23,DIVIDEND,0.08
8/17/23,DIVIDEND,0.11
9/14/23,DIVIDEND,0.08
10/12/23,DIVIDEND,0.3
11/9/23,DIVIDEND,0.06
11/10/23,DIVIDEND,0.08
11/10/23,DIVIDEND,0.18
11/16/23,DIVIDEND,0.11
12/1/23,DIVIDEND,0.04
12/14/23,DIVIDEND,0.09
1/11/24,DIVIDEND,0.31
2/9/24,DIVIDEND,0.1
2/9/24,DIVIDEND,0.08
2/14/24,DIVIDEND,0.3
2/15/24,DIVIDEND,0.11
3/1/24,DIVIDEND,0.04
3/14/24,DIVIDEND,0.63
3/14/24,DIVIDEND,1.84
3/27/24,DIVIDEND,0.05
4/11/24,DIVIDEND,4.23
4/11/24,DIVIDEND,0.35
5/7/24,DIVIDEND,0.36
5/7/24,DIVIDEND,1.94
5/9/24,DIVIDEND,1.38
5/10/24,DIVIDEND,0.09
5/16/24,DIVIDEND,0.11
5/16/24,DIVIDEND,1.43
6/3/24,DIVIDEND,1.88
6/3/24,DIVIDEND,0.04
6/13/24,DIVIDEND,1.84
6/13/24,DIVIDEND,0.63
6/13/24,DIVIDEND,0.05
6/28/24,DIVIDEND,3.68
6/28/24,DIVIDEND,0.12
6/28/24,DIVIDEND,0.01
7/11/24,DIVIDEND,0.35
7/15/24,DIVIDEND,4.2
8/7/24,DIVIDEND,0.32
8/9/24,DIVIDEND,3.42
8/9/24,DIVIDEND,1.38
8/9/24,DIVIDEND,0.1
8/9/24,DIVIDEND,0.09
8/15/24,DIVIDEND,0.11
9/3/24,DIVIDEND,0.04
9/12/24,DIVIDEND,0.68
10/3/24,DIVIDEND,0.01
10/9/24,DIVIDEND,0.4
10/11/24,DIVIDEND,8.9
10/31/24,DIVIDEND,4.12
11/7/24,DIVIDEND,3.42
11/8/24,DIVIDEND,0.1
11/8/24,DIVIDEND,0.09
11/10/24,DIVIDEND,1.38
11/14/24,DIVIDEND,0.11
11/14/24,DIVIDEND,2.5
12/2/24,DIVIDEND,0.05
12/2/24,DIVIDEND,4.41
12/6/24,DIVIDEND,0.64
12/12/24,DIVIDEND,1.38
12/12/24,DIVIDEND,0.74
12/13/24,DIVIDEND,0.97
12/27/24,DIVIDEND,0.19
12/27/24,DIVIDEND,0.01
12/31/24,DIVIDEND,4.15
1/8/25,DIVIDEND,2.11
1/9/25,DIVIDEND,0.39
1/9/25,DIVIDEND,8.69
1/31/25,DIVIDEND,0.96
2/7/25,DIVIDEND,0.12
2/7/25,DIVIDEND,1.59
2/10/25,DIVIDEND,0.09
2/13/25,DIVIDEND,2.5
2/13/25,DIVIDEND,0.11
2/19/25,DIVIDEND,0.3
2/19/25,DIVIDEND,5.44
2/25/25,DIVIDEND,1.58
3/3/25,DIVIDEND,6.27
3/3/25,DIVIDEND,0.05
7/9/25,Value,102769.51
,XIRR:,0.340088254